,country,year,population_int
290,France,2090,65900000
291,France,2091,65900000
292,France,2092,65900000
293,France,2093,65800000
294,France,2094,65800000
295,France,2095,65700000
296,France,2096,65700000
297,France,2097,65599999
298,France,2098,65599999
299,France,2099,65599999
300,France,2100,65500000
